City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,Progreso,MX,81.0,clear sky,21.2833,-89.6667,Playa Linda Hotel
239,Labuhan,ID,84.85,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
241,Bengkulu,ID,83.79,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
245,Kieta,PG,85.73,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
247,Isangel,VU,83.57,light rain,-19.55,169.2667,Volcano Sea View Tree House
250,Christchurch,NZ,82.99,clear sky,-43.5333,172.6333,The George
252,Raichur,IN,84.7,clear sky,16.2,77.3667,Hotel CM Residency
254,Carnarvon,AU,86.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
255,Port Augusta,AU,75.2,clear sky,-32.5,137.7667,Majestic Oasis Apartments
260,Salalah,OM,73.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
262,Newport Beach,US,72.0,clear sky,33.6189,-117.9289,Holiday Inn Express Newport Beach
267,Nishihara,JP,77.0,mist,26.1842,127.7558,Minshuku Agaihama
268,Padang,ID,80.6,light rain,-0.9492,100.3543,Mercure Padang
270,Bambous Virieux,MU,80.01,few clouds,-20.3428,57.7575,Casa Tia Villa
272,Bangui,CF,77.0,broken clouds,4.3612,18.555,SAM HOTEL
274,Vanimo,PG,87.44,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
282,Lantawan,PH,86.0,broken clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
289,Porto Novo,BJ,82.4,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
293,Dijkot,PK,81.16,clear sky,31.2167,72.9833,Al-Siddiq Food Point
294,Merauke,ID,82.2,overcast clouds,-8.4667,140.3333,PC
298,Fengkou,CN,75.61,broken clouds,30.0833,113.2667,君悦大酒店
299,Vaitape,PF,82.94,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
302,Grand-Lahou,CI,77.72,few clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
303,Chake Chake,TZ,79.3,scattered clouds,-5.2459,39.7666,Hotel Archipelago
308,Basco,PH,79.16,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
314,The Valley,AI,78.8,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
316,Namatanai,PG,83.84,light rain,-3.6667,152.4333,Namatanai Hotel
321,Mareeba,AU,89.01,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
322,Ulladulla,AU,73.4,scattered clouds,-35.35,150.4667,Sandpiper Motel
332,Aborlan,PH,87.8,broken clouds,9.4352,118.5492,Kevina Transient House
337,Alofi,NU,86.0,light rain,-19.0595,-169.9187,Taloa Heights
342,Olinda,BR,75.2,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
343,Saint-Georges,GD,80.6,light rain,12.0564,-61.7485,Siesta Hotel
344,Ramgarh,IN,78.8,haze,23.6333,85.5167,HOTEL TREAT RESIDENCY
347,Monrovia,LR,75.2,fog,6.3005,-10.7969,Sunset Inn
348,La Trinidad,PH,77.23,broken clouds,16.455,120.5875,IC 48 BETAG
